@RELATION COWS_DIAGNOSTICO

@ATTRIBUTE eAeM NUMERIC
@ATTRIBUTE mAmM NUMERIC
@ATTRIBUTE mAeM NUMERIC
@ATTRIBUTE eAmM NUMERIC
@ATTRIBUTE eAmA NUMERIC
@ATTRIBUTE mM   NUMERIC
@ATTRIBUTE mMeM NUMERIC
@ATTRIBUTE class {CON, SIN}

@DATA
          90.9797132815816,          165.084439304187,          207.987908541403,           72.212538990726,         0.437427896263839,          45.3091061792658,          1.25988802710933, CON
          131.291261834511,           216.39818804408,          320.612904402293,          88.6152452908128,         0.409500865472875,          58.2433852661703,          1.48158774941768, CON
          225.656134577989,           187.96477753515,          313.511144133151,          135.291538846796,          0.71977069651518,          52.5200137735416,           1.6679249604332, CON
          126.083398904142,          259.564527530459,          247.770058319328,          132.085281361195,         0.508872620684639,          40.5523724135818,         0.954560550613963, CON
          111.884106352398,          112.008828863421,          181.803206583824,           68.931719942928,         0.615413272707107,          44.4485067506225,          1.62311496717378, CON
          88.0736651617594,          121.347074637641,          142.398750122271,          75.0531982255302,         0.618500268338974,            34.18522573436,          1.17348317252389, CON
          203.900689357063,          99.3521082180482,          221.355203827056,          91.5178997579159,         0.921147033508956,          47.8357483380602,          2.22798698283531, CON
          149.090666557091,          178.200369973548,          222.890007728004,           119.19786001577,         0.668897937941786,          39.4249921023582,          1.25078308064731, CON
          225.025693567197,          126.951236945342,          236.484701195863,          120.799738834602,         0.951544401939239,          49.5410702366238,          1.86279950385738, CON
          117.653274970125,          104.050050190086,          194.192961652261,          63.0395100909516,         0.605857565429201,          39.7748818877651,           1.8663418354676, CON
          153.330202019235,          151.857814761622,          189.628295842635,          122.789635967207,         0.808582924493911,          51.2224628300372,           1.2487226695597, CON
          115.189089811226,          180.640765210956,          193.650230309025,          107.450661402511,         0.594830636800216,          26.7269775431489,          1.07201843439312, CON
          119.915106958382,          177.007535060111,          188.412299680161,          112.656538533868,         0.636450524524906,          31.9158471791677,          1.06443095553066, SIN
          61.5525020597075,          481.914548295112,          204.306887441185,          145.188674733627,         0.301274728574321,          23.3695990878512,         0.423948370440299, SIN
          117.756539212413,          111.376954183063,          158.946453743879,          82.5143585383202,         0.740856662345935,          33.7259232107823,          1.42710361321813, SIN
          103.328829964901,          143.335730531818,          199.445162636584,          74.2595765784713,         0.518081404426839,          38.9663996025797,          1.39145460728168, SIN
           71.973688146959,          128.655664866354,          158.868923766199,           58.285928310674,         0.453038180411417,          30.5847403171286,          1.23483815447404, SIN
          101.051348756681,          182.257585567347,          191.962253484563,          95.9426892964539,         0.526412598947777,          36.0861581620329,           1.0532469904449, SIN
          107.860228951744,          165.698783457662,          176.860749527315,          101.052996600631,         0.609859616902085,          34.1018584790512,           1.0673629934797, SIN
           66.609088864053,          201.673117514014,          172.727512800905,          77.7714122559354,         0.385631031119114,          32.3683111833082,         0.856472666908135, SIN
          90.1758146838003,          182.486065809102,          161.129504577953,          102.127972750119,         0.559648060235759,          31.0538002760052,         0.882968811144795, SIN
           71.637192437445,           168.97979756788,          163.493824394874,          74.0409512176672,         0.438164516015145,          32.3004863318728,         0.967534739347749, SIN
          75.7988820297541,          185.363074958826,           186.74311656614,          75.2387242423483,         0.405899202195804,          39.2453627440559,          1.00744507290689, SIN
          101.228423325402,          226.368583194068,          217.689568992763,          105.264275514746,         0.465012741739442,          34.7272412468794,         0.961659811273969, SIN
